tracker	detector	nn	learner	sum
64	0	0	11	75
31	0	0	5	36
52	0	0	8	60
48	0	0	17	65
53	0	0	9	62
32	0	0	4	36
25	0	0	12	37
36	0	0	9	45
27	0	0	4	31
44	0	0	5	49
52	0	0	10	62
33	0	1	4	38
47	0	0	11	58
46	0	0	7	53
50	0	0	10	60
43	0	0	5	48
47	0	0	9	56
49	0	0	8	57
60	0	0	8	68
41	0	0	5	46
42	0	0	8	50
47	0	0	7	54
57	0	0	10	67
42	0	0	5	47
54	0	0	12	66
47	0	0	12	59
56	0	0	6	62
31	0	0	5	36
36	0	0	4	40
25	0	0	10	35
43	0	0	12	55
39	0	0	9	48
32	0	0	4	36
46	0	0	16	62
43	0	0	16	59
45	0	0	9	54
31	0	0	3	34
23	0	0	5	28
31	0	0	7	38
49	0	0	7	56
48	0	0	9	57
37	0	0	5	42
43	0	0	9	52
40	0	0	7	47
48	0	0	15	63
49	0	0	6	55
47	0	0	18	65
46	0	0	16	62
41	0	0	10	51
36	0	0	4	40
25	0	0	36	61
36	0	1	13	50
44	0	0	18	62
43	0	0	3	46
61	0	0	6	67
43	0	0	3	46
41	0	0	12	53
41	0	0	2	43
62	0	0	13	75
45	0	0	13	58
50	0	0	7	57
32	0	0	4	36
24	0	0	5	29
23	0	0	5	28
36	0	0	4	40
41	0	0	11	52
45	0	0	10	55
32	0	0	4	36
43	0	0	12	55
40	0	0	8	48
49	0	0	10	59
39	0	0	4	43
32	0	0	5	37
25	0	0	6	31
39	0	0	9	48
51	0	0	11	62
43	0	0	4	47
54	0	0	9	63
44	0	0	13	57
46	0	0	7	53
31	0	0	4	35
48	0	0	7	55
47	0	0	12	59
42	0	0	9	51
47	0	0	5	52
44	0	0	10	54
52	0	0	8	60
42	0	0	5	47
29	0	0	4	33
44	0	0	14	58
43	0	0	9	52
48	0	0	11	59
43	0	0	5	48
43	0	0	14	57
47	0	0	10	57
38	0	0	10	48
42	0	0	4	46
42	0	0	14	56
53	0	0	10	63
49	0	0	9	58
41	0	0	4	45
48	0	0	14	62
48	0	0	12	60
52	0	0	7	59
29	0	0	4	33
24	0	0	7	31
24	0	0	21	45
26	0	0	9	35
36	0	0	8	44
50	0	0	8	58
42	0	0	13	55
41	0	0	4	45
43	0	0	12	55
37	0	0	7	44
47	0	0	8	55
31	0	0	3	34
32	0	0	7	39
26	0	0	10	36
24	0	0	4	28
45	0	0	13	58
44	0	0	8	52
43	0	0	6	49
35	0	0	2	37
58	0	0	6	64
44	0	0	12	56
60	0	0	10	70
41	0	0	2	43
46	0	0	7	53
44	0	0	13	57
44	0	0	9	53
41	0	0	6	47
48	0	0	18	66
39	0	0	15	54
59	0	0	6	65
42	0	0	5	47
58	0	0	5	63
51	0	0	8	59
39	0	0	4	43
41	0	0	8	49
43	0	0	7	50
46	0	0	15	61
54	0	0	7	61
30	0	0	4	34
25	0	0	12	37
44	0	0	11	55
55	0	0	11	66
45	0	0	5	50
41	0	0	12	53
44	0	0	8	52
46	0	0	12	58
49	0	0	5	54
45	0	0	11	56
52	0	0	17	69
51	0	0	8	59
32	0	0	4	36
50	0	0	18	68
45	0	0	11	56
46	0	0	10	56
41	0	0	4	45
41	0	0	7	48
48	0	0	7	55
55	0	0	14	69
38	0	0	4	42
24	0	0	9	33
41	0	0	6	47
47	0	0	12	59
40	0	0	4	44
43	0	0	10	53
53	0	0	7	60
72	0	0	9	81
29	0	0	4	33
46	0	0	19	65
52	0	0	8	60
40	0	0	6	46
50	0	0	11	61
38	0	0	8	46
47	0	0	11	58
40	0	0	4	44
43	0	0	8	51
30	0	0	10	40
45	0	0	12	57
41	0	1	5	47
46	0	0	6	52
40	0	1	5	46
58	0	0	10	68
40	0	0	4	44
35	0	0	4	39
23	0	0	13	36
27	0	0	17	44
42	0	0	8	50
32	0	0	4	36
56	0	0	14	70
34	0	0	16	50
53	0	0	10	63
